4/13/2020 11:33:11 AM Product 63 called Drink and costing 2000dkk, was registered 
4/13/2020 11:33:11 AM Product 64 called 1 flaske vin and costing 3000dkk, was registered 
4/13/2020 11:33:11 AM Product 65 called Fad�l - Tuborg/Classic and costing 1300dkk, was registered 
4/13/2020 11:33:11 AM Product 66 called Fad�l - Julebryg and costing 2100dkk, was registered 
4/13/2020 11:33:11 AM Product 67 called Poelse med broed and costing 800dkk, was registered 
4/13/2020 11:33:11 AM Product 68 called Fransk Hotdog and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 69 called Somersby/Xide and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 70 called �blemost and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 71 called �blemost m. en enkelt and costing 800dkk, was registered 
4/13/2020 11:33:11 AM Product 72 called �blemost m. dobbelt and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 73 called Island TILBUD! and costing 50000dkk, was registered 
4/13/2020 11:33:11 AM Product 74 called Adm Gebyr and costing 2000dkk, was registered 
4/13/2020 11:33:11 AM Product 75 called KB Jule�l (hvidt�l) and costing 450dkk, was registered 
4/13/2020 11:33:11 AM Product 76 called F (oel) and costing 900dkk, was registered 
4/13/2020 11:33:11 AM Product 77 called Fad�l i personligt glas and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 78 called D�se�l (Guinness & Kilkenny) and costing 1650dkk, was registered 
4/13/2020 11:33:11 AM Product 79 called Lager/Special/Elefant and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 80 called Feaster and costing 4500dkk, was registered 
4/13/2020 11:33:11 AM Product 81 called 2xJule�l and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 82 called Limfjordsporter Fad and costing 1700dkk, was registered 
4/13/2020 11:33:11 AM Product 83 called Famlefest and costing 30000dkk, was registered 
4/13/2020 11:33:11 AM Product 84 called Special Hyttetur and costing 12500dkk, was registered 
4/13/2020 11:33:11 AM Product 85 called �ko Humle/Porse Guld/�ko P�ske and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 86 called � Kas Kurwand and costing 23100dkk, was registered 
4/13/2020 11:33:11 AM Product 87 called Bingo Plader and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 88 called 3x Bingo Plader and costing 2500dkk, was registered 
4/13/2020 11:33:11 AM Product 89 called Burn Shot and costing 1400dkk, was registered 
4/13/2020 11:33:11 AM Product 90 called Fames and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 91 called Red Bull and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 92 called Cult Cola / Cult and costing 1200dkk, was registered 
4/13/2020 11:33:11 AM Product 93 called F-sportsdag + gris and costing 5500dkk, was registered 
4/13/2020 11:33:11 AM Product 94 called �KO Humle and costing 850dkk, was registered 
4/13/2020 11:33:11 AM Product 95 called Tuborg Lime Cut and costing 800dkk, was registered 
4/13/2020 11:33:11 AM Product 96 called Schweppes Ginger Ale and costing 550dkk, was registered 
4/13/2020 11:33:11 AM Product 97 called Budget Juice (250 ml) and costing 400dkk, was registered 
4/13/2020 11:33:11 AM Product 98 called Fastelavn and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 99 called BEO*/Copenhagen and costing 1100dkk, was registered 
4/13/2020 11:33:11 AM Product 100 called One EngergyDrink and costing 900dkk, was registered 
4/13/2020 11:33:11 AM Product 101 called X-Ray and costing 700dkk, was registered 
4/13/2020 11:33:11 AM Product 102 called F-Kult Meat Pie and costing 4800dkk, was registered 
4/13/2020 11:33:11 AM Product 103 called morgan + cola and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 104 called Fad�l normal/p�ske (sw system) and costing 1100dkk, was registered 
4/13/2020 11:33:11 AM Product 105 called Burn Energy and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 106 called Fragelse and costing 6900dkk, was registered 
4/13/2020 11:33:11 AM Product 107 called Vodka and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 108 called Julemumme - Kongens Bryghus and costing 3600dkk, was registered 
4/13/2020 11:33:11 AM Product 109 called Jakobsen - Golden naked (Tilbud) and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 110 called Carlsberg Christmas Ale and costing 3100dkk, was registered 
4/13/2020 11:33:11 AM Product 111 called Gratis FooBar and costing 0dkk, was registered 
4/13/2020 11:33:11 AM Product 112 called �lkrus and costing 2000dkk, was registered 
4/13/2020 11:33:11 AM Product 113 called HARBOE - �L Vand excl. pant and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 114 called Juice 1,5L and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 115 called Kakao 1L and costing 1000dkk, was registered 
4/13/2020 11:33:11 AM Product 116 called Juice 1,5L and costing 1200dkk, was registered 
4/13/2020 11:33:11 AM Product 117 called Gin and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 118 called FredagsFranskbr�d and costing 0dkk, was registered 
4/13/2020 11:33:11 AM Product 119 called Fad�l(Jul) i personligt glas and costing 1750dkk, was registered 
4/13/2020 11:33:11 AM Product 120 called 24 x 0,5 L sodavand uden pant and costing 28800dkk, was registered 
4/13/2020 11:33:11 AM Product 121 called Corona Extra & Franziskaner Dunk and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 122 called Budget kildevand incl. pant and costing 600dkk, was registered 
4/13/2020 11:33:11 AM Product 123 called F-dag and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 124 called Fad�l i kande (2 L) and costing 6000dkk, was registered 
4/13/2020 11:33:11 AM Product 125 called Snack and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 126 called Konsulent for en aften and costing 0dkk, was registered 
4/13/2020 11:33:11 AM Product 127 called  Br�d  and costing 500dkk, was registered 
4/13/2020 11:33:11 AM Product 128 called F-LAN and costing 4000dkk, was registered 
4/13/2020 11:33:11 AM Product 129 called Cider  and costing 1500dkk, was registered 
4/13/2020 11:33:11 AM Product 130 called Alkohol (Snaps/shots) and costing 10000dkk, was registered 
4/13/2020 11:33:11 AM Product 131 called 1,5L vand excl. pant and costing 1200dkk, was registered 
4/13/2020 11:33:11 AM Product 132 called Kamstrup Foobar and costing 0dkk, was registered 
4/13/2020 11:33:11 AM Product 133 called FLAN Sandwich l�rdag frokost and costing 3500dkk, was registered 
4/13/2020 11:33:11 AM Product 134 called FLAN Chili con Carne Fredag afte and costing 5000dkk, was registered 
4/13/2020 11:33:11 AM Product 135 called Monster and costing 1200dkk, was registered 
